# Acme Bank – Small-Business Loan-Approval Process Analysis

## a) Decision Points (Gates & Conditional Branches)

| # | Location | Decision Point | Rule (one sentence) |
|---|----------|----------------|---------------------|
| **1** | **Step 3 – Tri-Color-Risk-Check** | Risk-rating gate | The combined reading of Scorecard–Cyan, Scorecard–Magenta, and Scorecard–Yellow yields a single risk rating of **Low, Medium, or High**. |
| **2** | **Step 4 → Step 5 (conditional branch)** | Underwriting-skip gate | Step 5 (Manual-Underwriting-Review) is **skipped only when the risk is Low or Medium *and* the requested amount is ≤ €250,000**; otherwise the case must pass through Manual-Underwriting-Review. |
| **3** | **Step 6 – "TriVote" Decision Gate** | Approval gate | The gate is passed when **any two of the three required approvers** (Credit Lead, Regulatory Liaison, Sustainability Officer) grant their approval. |

---

## b) Documents Required, in Order of First Appearance

| Order | Document | First appears at |
|-------|----------|------------------|
| 1 | **Form 14B** | Step 1 – Receive-Application |
| 2 | **Scorecard–Cyan** | Step 3 – Tri-Color-Risk-Check (input) |
| 3 | **Scorecard–Magenta** | Step 3 – Tri-Color-Risk-Check (input) |
| 4 | **Scorecard–Yellow** | Step 3 – Tri-Color-Risk-Check (input) |
| 5 | **Deck Memo** | Step 5 – Manual-Underwriting-Review |
| 6 | **Offer Sheet 77** | Step 7 – Prepare-Binding-Offer |
| 7 | **Signed Offer Sheet 77** | Step 8 – Request-Applicant-Confirmation |
| 8 | **ID Matrix Declaration** | Step 8 – Request-Applicant-Confirmation |
| 9 | **Loan Dossier 2025** | Step 9 – Finalize-Agreement |

> **Note:** Consistent with the process description, no KYC/AML or credit-bureau documents appear, because those activities are explicitly out of scope of this in-house process.
