```markdown
| Task | Responsible (R) | Accountable (A) | Consulted (C) | Informed (I) |
|------|------------------|-----------------|---------------|--------------|
| Receive transfer instruction | Transaction Analyst | Transaction Analyst | Regulatory Liaison | Customer |
| Log instruction in system | Transaction Analyst | Transaction Analyst | Regulatory Liaison | Customer |
| Screen payment against sanctions list | Transaction Analyst | Transaction Analyst | Regulatory Liaison | Customer |
| Perform KYC Review on sender and beneficiary | Regulatory Liaison | Regulatory Liaison | Transaction Analyst | Customer |
| Approve high‑risk transaction | Regulatory Liaison | Regulatory Liaison | Transaction Analyst | Customer |
| Release payment | Transaction Analyst | Transaction Analyst | Regulatory Liaison | Customer |
| Send SWIFT message | IT Support | IT Support | Transaction Analyst | Customer |
| Archive case file | IT Support | IT Support | Regulatory Liaison | Customer |
| Notify compliance officer of approval | IT Support | IT Support | Regulatory Liaison | Customer |
```
