| Task | Transaction Analyst | Regulatory Liaison | IT Support |
|------|---------------------|--------------------|------------|
| Receive and log transfer instruction | R/A | – | – |
| Screen payment against sanctions list | R | A | – |
| KYC Review (sender & beneficiary) | C | R/A | – |
| Approve high‑risk transaction (if flagged) | C | R/A | – |
| Release payment | R | A | – |
| Send SWIFT message | – | A | R |
| Archive case file | – | A | R |
| Notify Regulatory Liaison | – | I | R |

*Legend*: R = Responsible, A = Accountable, C = Consulted, I = Informed, – = No involvement.
