| Activity | Transaction Analyst | Regulatory Liaison | IT Support |
|---|:---:|:---:|:---:|
| Receive the customer’s transfer instruction | R/A | I | — |
| Log the transfer instruction in the system | R/A | I | — |
| Screen the payment against the sanctions list | R/A | C | — |
| Perform the KYC Review for the sender and beneficiary | C | R/A | — |
| Approve a high-risk transaction, when flagged | C | R/A | I |
| Release the approved payment | R/A | I | C |
| Ensure the SWIFT message is sent | C | I | R/A |
| Archive the case file | I | I | R/A |
| Notify the Regulatory Liaison that archiving is complete | — | I | R/A |

**Legend:** R = Responsible, A = Accountable, C = Consulted, I = Informed.
