| Activity                     | Front-Office Analyst | Compliance Analyst | Compliance Officer | Treasury Ops |
|------------------------------|---------------------|--------------------|--------------------|--------------|
| Intake Vetting               | R, A                | —                  | —                  | —            |
| KYC Review                   | —                   | R                  | A                  | —            |
| AML Screening                | —                   | R                  | A                  | —            |
| Risk Scoring                 | —                   | R                  | A, I               | I            |
| Compliance Officer Approval  | —                   | —                  | R, A               | I            |
| Payment Scheduling           | —                   | —                  | —                  | R, A         |
| Funds Release & Notification | I                   | —                  | —                  | R, A         |

*Note: "—" indicates no assignment for that role/activity intersection. All activity names use the mandated authorized vocabulary for the core regulated process steps, with subsequent workflow activities named as explicitly described in the process narrative with no renaming or merging.*
