| # | Activity | Transaction Analyst | Regulatory Liaison | IT Support |
|---:|---|:---:|:---:|:---:|
| 1 | Receive customer transfer instruction | R | A | I |
| 2 | Log transfer instruction in the system | R | A | C |
| 3 | Screen payment against sanctions list | R | A | I |
| 4 | Perform KYC Review on sender and beneficiary | C | R/A | I |
| 5 | Approve high-risk transaction when flagged | I | R/A | I |
| 6 | Release approved payment | R | A | C |
| 7 | Ensure SWIFT message is sent | I | A | R |
| 8 | Archive case file | I | A | R |
| 9 | Notify Regulatory Liaison of archived case file | I | I | R/A |
