**Decision Points in the Micro-loan Fast-Track Process**

1.  **Underwriter Alignment Gate**
    *   Decision: Do the Senior Underwriter A and Shadow Underwriter B scores differ by **≤ 2 points**?
    *   Outcome: If **Yes**, proceed to Neighbourhood Feedback Check. If **No**, escalate to the Harmonisation Committee for a tie-break.

2.  **Amount Threshold Decision**
    *   Decision: Is the requested loan **amount < €15 000**?
    *   Outcome: If **Yes**, the system auto-approves. If **No** (amount ≥ €15 000), proceed to Final Micro-loan Board Approval.

3.  **Final Micro-loan Board Approval (MBA)**
    *   Decision: Does the board vote to *approve* or *reject* the application?

**Required Documents at Submission**

*   Digital Application Form (ML-APP-01)
*   Proof of Address (≤ 3 months old)
*   Latest Income Statement (single pay-stub or tax slip)
*   Community Impact Statement (CIS) template
*   Dual Underwriter Score-Sheet
*   Neighbourhood Feedback Form (NFF)
